day,interval,detid,flow,occ,error,city,speed
2017-09-21,27300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,348.0,8.10511905909573,,groningen,42.9358282663926
2017-09-21,27600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,300.0,6.4387691669347,,groningen,46.5927558857993
2017-09-21,27900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,396.0,9.10743321718932,,groningen,43.4809666517886
2017-09-21,28200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,372.0,8.32113475177305,,groningen,44.7054411564162
2017-09-21,28500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,276.0,6.27388412224043,,groningen,43.9918867837551
2017-09-21,28800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,348.0,7.22975822203631,,groningen,48.1343897420105
2017-09-21,29100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,216.0,4.56936714079571,,groningen,47.2713164305694
2017-09-21,29400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,300.0,6.72223650540024,,groningen,44.6280043492962
2017-09-21,29700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,252.0,5.16362844860423,,groningen,48.8028917084686
2017-09-21,30000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,312.0,7.22169595218429,,groningen,43.2031481338718
2017-09-21,30300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,312.0,7.22764522299406,,groningen,43.1675864508958
2017-09-21,30600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,288.0,6.18966198927569,,groningen,46.529196666796
2017-09-21,30900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,180.0,3.96476391825229,,groningen,45.3999289015286
2017-09-21,31200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,444.0,11.3090743274054,,groningen,39.2605077255572
2017-09-21,31500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,384.0,8.61966873706004,,groningen,44.5492758148584
2017-09-21,31800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,444.0,10.321225921781,,groningen,43.0181456509951
2017-09-21,32100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,300.0,6.70705393972017,,groningen,44.7290274830437
2017-09-21,32400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,432.0,10.1766128180762,,groningen,42.4502737524473
2017-09-21,32700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,324.0,7.42230397991646,,groningen,43.6522137703725
2017-09-21,33000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,360.0,7.66310036209606,,groningen,46.9783746772606
2017-09-21,33300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,432.0,9.22870945479641,,groningen,46.8104453949927
2017-09-21,33600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,420.0,9.48603145235893,,groningen,44.2756280230925
2017-09-21,33900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,240.0,5.30277161235598,,groningen,45.2593506838531
2017-09-21,34200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,228.0,5.4149861239593,,groningen,42.1053710537105
2017-09-21,34500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,360.0,8.21905222437137,,groningen,43.8006707065953
2017-09-21,34800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,204.0,4.59060575420535,,groningen,44.4385797698093
2017-09-21,35100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,276.0,6.08652530779754,,groningen,45.3460695622858
2017-09-21,35400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,216.0,4.70985266942007,,groningen,45.8613071704845
2017-09-21,35700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,348.0,8.33525691699605,,groningen,41.7503627621134
2017-09-21,36000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,360.0,7.94226349885354,,groningen,45.3271287274674
2017-09-21,36300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,312.0,7.3692327388376,,groningen,42.3381932769861
2017-09-21,36600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,300.0,6.69147863575985,,groningen,44.8331402265523
2017-09-21,36900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,300.0,6.43084320516925,,groningen,46.6501810771647
2017-09-21,37200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,264.0,6.32129165480747,,groningen,41.7636164278581
2017-09-21,37500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,348.0,7.90840587983445,,groningen,44.0038112974653
2017-09-21,37800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,360.0,8.3469911570446,,groningen,43.1293136924161
2017-09-21,38100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,336.0,8.01990473294821,,groningen,41.8957595119066
2017-09-21,38400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,288.0,6.26236858379716,,groningen,45.988989013702
2017-09-21,38700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,324.0,7.65990819811418,,groningen,42.2981570562121
2017-09-21,39000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,360.0,7.96396139851289,,groningen,45.2036344710589
2017-09-21,39300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,240.0,5.12928531096233,,groningen,46.7901443281135
2017-09-21,39600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,240.0,5.12024499007532,,groningen,46.8727571561902
2017-09-21,39900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,288.0,6.1248093135287,,groningen,47.0218720709974
2017-09-21,40200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,300.0,6.71517302573203,,groningen,44.6749471458774
2017-09-21,40500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,312.0,7.37431497063703,,groningen,42.3090146328599
2017-09-21,40800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,288.0,6.39183280233512,,groningen,45.0574989844517
2017-09-21,41100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,288.0,7.10517757809157,,groningen,40.5338215455772
2017-09-21,41400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,324.0,7.45446503677952,,groningen,43.4638835116161
2017-09-21,41700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,300.0,6.72530020703934,,groningen,44.6076741207763
2017-09-21,42000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,420.0,10.2901912509548,,groningen,40.8155679284416
2017-09-21,42300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,372.0,7.98244682228071,,groningen,46.6022522018773
2017-09-21,42600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,372.0,8.58703398133347,,groningen,43.3211282042968
2017-09-21,42900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,396.0,9.62120271033315,,groningen,41.1590953774103
2017-09-21,43200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,372.0,7.91515125021857,,groningen,46.9984701795468
2017-09-21,43500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,240.0,5.34784273079846,,groningen,44.8779091086261
